episode,rewards,has_gold,step_per_episode,killed_wumpus,get_gold_and_return_home
246,-110,0,11,0,0
247,464,1,39,1,0
248,1,0,100,1,0
249,375,1,27,0,0
250,-111,0,12,0,0
251,344,1,58,0,0
252,344,1,58,0,0
253,384,1,18,0,0
254,401,1,100,0,0
255,-47,0,49,1,0
256,502,1,100,1,0
257,427,1,76,1,0
258,-174,0,75,0,0
259,-105,0,6,0,0
260,-130,0,31,0,0
261,-115,0,16,0,0
262,-113,0,14,0,0
263,367,1,35,0,0
264,484,1,19,1,0
265,368,1,34,0,0
266,-9,0,11,1,0
267,-108,0,9,0,0
268,-111,0,12,0,0
269,-123,0,24,0,0
270,-106,0,7,0,0
271,-128,0,29,0,0
272,381,1,21,0,0
273,373,1,29,0,0
274,-15,0,17,1,0
275,336,1,66,0,0
276,401,1,100,0,0
277,353,1,49,0,0
278,1,0,100,1,0
279,-103,0,4,0,0
280,1,0,100,1,0
281,1,0,100,1,0
282,-5,0,7,1,0
283,-11,0,13,1,0
284,384,1,18,0,0
285,368,1,34,0,0
286,438,1,65,1,0
287,-10,0,12,1,0
288,1,0,100,1,0
289,1,0,100,1,0
290,-48,0,50,1,0
291,358,1,44,0,0
292,-78,0,80,1,0
293,-6,0,8,1,0
294,1,0,100,1,0
295,-74,0,76,1,0
296,303,1,99,0,0
297,-125,0,26,0,0
298,-53,0,55,1,0
299,377,1,25,0,0
300,373,1,29,0,0
301,364,1,38,0,0
302,-141,0,42,0,0
303,1,0,100,1,0
304,379,1,23,0,0
305,-19,0,21,1,0
306,341,1,61,0,0
307,502,1,100,1,0
308,-31,0,33,1,0
309,1,0,100,1,0
310,-23,0,25,1,0
311,448,1,55,1,0
312,404,1,99,1,0
313,-7,0,9,1,0
314,452,1,51,1,0
315,-6,0,8,1,0
316,-7,0,9,1,0
317,472,1,31,1,0
318,381,1,21,0,0
319,-14,0,16,1,0
320,-100,0,100,0,0
321,426,1,77,1,0
322,-75,0,77,1,0
323,-9,0,11,1,0
324,401,1,100,0,0
325,-6,0,8,1,0
326,358,1,44,0,0
327,382,1,20,0,0
328,-22,0,24,1,0
329,-7,0,9,1,0
330,-8,0,10,1,0
331,339,1,63,0,0
332,420,1,83,1,0
333,450,1,53,1,0
334,327,1,75,0,0
335,328,1,74,0,0
336,335,1,67,0,0
337,-33,0,35,1,0
338,435,1,68,1,0
339,410,1,93,1,0
340,456,1,47,1,0
341,384,1,18,0,0
342,469,1,34,1,0
343,478,1,25,1,0
344,379,1,23,0,0
345,502,1,100,1,0
346,464,1,39,1,0
347,502,1,100,1,0
348,349,1,53,0,0
349,378,1,24,0,0
350,463,1,40,1,0
351,502,1,100,1,0
352,502,1,100,1,0
353,502,1,100,1,0
354,502,1,100,1,0
355,-11,0,13,1,0
356,502,1,100,1,0
357,-103,0,4,0,0
358,502,1,100,1,0
359,502,1,100,1,0
360,502,1,100,1,0
361,347,1,55,0,0
362,502,1,100,1,0
363,491,1,12,1,0
364,420,1,83,1,0
365,502,1,100,1,0
366,442,1,61,1,0
367,401,1,100,0,0
368,502,1,100,1,0
369,482,1,21,1,0
370,502,1,100,1,0
371,467,1,36,1,0
372,448,1,55,1,0
373,401,1,100,0,0
374,502,1,100,1,0
375,502,1,100,1,0
376,502,1,100,1,0
377,502,1,100,1,0
378,420,1,83,1,0
379,502,1,100,1,0
380,502,1,100,1,0
381,502,1,100,1,0
382,442,1,61,1,0
383,491,1,12,1,0
384,457,1,46,1,0
385,502,1,100,1,0
386,475,1,28,1,0
387,502,1,100,1,0
388,502,1,100,1,0
389,484,1,19,1,0
390,401,1,100,0,0
391,488,1,15,1,0
392,502,1,100,1,0
393,502,1,100,1,0
394,429,1,74,1,0
395,458,1,45,1,0
396,446,1,57,1,0
397,490,1,13,1,0
398,502,1,100,1,0
399,502,1,100,1,0
400,416,1,87,1,0
401,440,1,63,1,0
402,-111,0,12,0,0
403,423,1,80,1,0
404,502,1,100,1,0
405,502,1,100,1,0
406,468,1,35,1,0
407,456,1,47,1,0
408,502,1,100,1,0
409,502,1,100,1,0
410,486,1,17,1,0
411,502,1,100,1,0
412,487,1,16,1,0
413,449,1,54,1,0
414,502,1,100,1,0
415,490,1,13,1,0
416,502,1,100,1,0
417,502,1,100,1,0
418,502,1,100,1,0
419,434,1,69,1,0
420,455,1,48,1,0
421,502,1,100,1,0
422,502,1,100,1,0
423,-103,0,4,0,0
424,401,1,100,0,0
425,447,1,56,1,0
426,502,1,100,1,0
427,412,1,91,1,0
428,502,1,100,1,0
429,441,1,62,1,0
430,421,1,82,1,0
431,433,1,70,1,0
432,435,1,68,1,0
433,502,1,100,1,0
434,464,1,39,1,0
435,502,1,100,1,0
436,303,1,99,0,0
437,502,1,100,1,0
438,484,1,19,1,0
439,454,1,49,1,0
440,502,1,100,1,0
441,502,1,100,1,0
442,502,1,100,1,0
443,502,1,100,1,0
444,502,1,100,1,0
445,502,1,100,1,0
446,472,1,31,1,0
447,502,1,100,1,0
448,502,1,100,1,0
449,502,1,100,1,0
450,502,1,100,1,0
451,502,1,100,1,0
452,502,1,100,1,0
453,502,1,100,1,0
454,492,1,11,1,0
455,-4,0,6,1,0
456,502,1,100,1,0
457,502,1,100,1,0
458,502,1,100,1,0
459,414,1,89,1,0
460,502,1,100,1,0
461,502,1,100,1,0
462,502,1,100,1,0
463,502,1,100,1,0
464,422,1,81,1,0
465,502,1,100,1,0
466,337,1,65,0,0
467,502,1,100,1,0
468,502,1,100,1,0
469,502,1,100,1,0
470,502,1,100,1,0
471,502,1,100,1,0
472,401,1,100,0,0
473,502,1,100,1,0
474,502,1,100,1,0
475,502,1,100,1,0
476,401,1,100,0,0
477,1564,1,39,1,1
478,401,1,100,0,0
479,401,1,100,0,0
480,-147,0,48,0,0
481,401,1,100,0,0
482,401,1,100,0,0
483,480,1,23,1,0
484,315,1,87,0,0
485,502,1,100,1,0
486,502,1,100,1,0
487,502,1,100,1,0
488,502,1,100,1,0
489,502,1,100,1,0
490,385,1,17,0,0
491,401,1,100,0,0
492,375,1,27,0,0
493,-111,0,12,0,0
494,401,1,100,0,0
495,401,1,100,0,0
496,401,1,100,0,0
497,502,1,100,1,0
498,401,1,100,0,0
499,401,1,100,0,0
500,305,1,97,0,0
501,401,1,100,0,0
502,353,1,49,0,0
503,-100,0,100,0,0
504,333,1,69,0,0
505,401,1,100,0,0
506,401,1,100,0,0
507,455,1,48,1,0
508,502,1,100,1,0
509,346,1,56,0,0
510,1549,1,54,1,1
511,502,1,100,1,0
512,-46,0,48,1,0
513,502,1,100,1,0
514,1503,1,100,1,1
515,325,1,77,0,0
516,401,1,100,0,0
517,-100,0,100,0,0
518,-100,0,100,0,0
519,401,1,100,0,0
520,401,1,100,0,0
521,1,0,100,1,0
522,1,0,100,1,0
523,480,1,23,1,0
524,401,1,100,0,0
525,502,1,100,1,0
526,1531,1,72,1,1
527,492,1,11,1,0
528,502,1,100,1,0
529,1,0,100,1,0
530,502,1,100,1,0
531,1,0,100,1,0
532,1,0,100,1,0
533,1,0,100,1,0
534,1,0,100,1,0
535,1,0,100,1,0
536,502,1,100,1,0
537,-100,0,100,0,0
538,1,0,100,1,0
539,502,1,100,1,0
540,-100,0,100,0,0
541,485,1,18,1,0
542,502,1,100,1,0
543,434,1,69,1,0
544,502,1,100,1,0
545,502,1,100,1,0
546,502,1,100,1,0
547,-100,0,100,0,0
548,502,1,100,1,0
549,502,1,100,1,0
550,-103,0,4,0,0
551,502,1,100,1,0
552,502,1,100,1,0
553,502,1,100,1,0
554,1561,1,42,1,1
555,1527,1,76,1,1
556,1539,1,64,1,1
557,-100,0,100,0,0
558,502,1,100,1,0
559,-100,0,100,0,0
560,502,1,100,1,0
561,502,1,100,1,0
562,502,1,100,1,0
563,502,1,100,1,0
564,502,1,100,1,0
565,502,1,100,1,0
566,502,1,100,1,0
567,502,1,100,1,0
568,-25,0,27,1,0
569,-100,0,100,0,0
570,-71,0,73,1,0
571,502,1,100,1,0
572,-100,0,100,0,0
573,1,0,100,1,0
574,1562,1,41,1,1
575,502,1,100,1,0
576,-103,0,4,0,0
577,401,1,100,0,0
578,1529,1,74,1,1
579,502,1,100,1,0
580,502,1,100,1,0
581,502,1,100,1,0
582,502,1,100,1,0
583,1406,1,96,0,1
584,1,0,100,1,0
585,1,0,100,1,0
586,1,0,100,1,0
587,1,0,100,1,0
588,1,0,100,1,0
589,1,0,100,1,0
590,1,0,100,1,0
591,1,0,100,1,0
592,1,0,100,1,0
593,1,0,100,1,0
594,1,0,100,1,0
595,1529,1,74,1,1
596,502,1,100,1,0
597,502,1,100,1,0
598,401,1,100,0,0
599,502,1,100,1,0
600,502,1,100,1,0
601,502,1,100,1,0
602,502,1,100,1,0
603,-103,0,4,0,0
604,502,1,100,1,0
605,502,1,100,1,0
606,502,1,100,1,0
607,502,1,100,1,0
608,502,1,100,1,0
609,502,1,100,1,0
610,502,1,100,1,0
611,1,0,100,1,0
612,-43,0,45,1,0
613,1579,1,24,1,1
614,1571,1,32,1,1
615,502,1,100,1,0
616,1,0,100,1,0
617,1544,1,59,1,1
618,502,1,100,1,0
619,502,1,100,1,0
620,-100,0,100,0,0
621,314,1,88,0,0
622,401,1,100,0,0
623,1,0,100,1,0
624,1,0,100,1,0
625,401,1,100,0,0
626,502,1,100,1,0
627,502,1,100,1,0
628,1558,1,45,1,1
629,502,1,100,1,0
630,1519,1,84,1,1
631,502,1,100,1,0
632,502,1,100,1,0
633,502,1,100,1,0
634,502,1,100,1,0
635,502,1,100,1,0
636,502,1,100,1,0
637,-100,0,100,0,0
638,502,1,100,1,0
639,421,1,82,1,0
640,1576,1,27,1,1
641,1559,1,44,1,1
642,502,1,100,1,0
643,1,0,100,1,0
644,502,1,100,1,0
645,502,1,100,1,0
646,502,1,100,1,0
647,1557,1,46,1,1
648,502,1,100,1,0
649,1,0,100,1,0
650,-100,0,100,0,0
651,1,0,100,1,0
652,502,1,100,1,0
653,1,0,100,1,0
654,-100,0,100,0,0
655,1,0,100,1,0
656,1,0,100,1,0
657,1,0,100,1,0
658,1,0,100,1,0
659,1,0,100,1,0
660,1,0,100,1,0
661,1,0,100,1,0
662,1585,1,18,1,1
663,1,0,100,1,0
664,1,0,100,1,0
665,-100,0,100,0,0
666,-100,0,100,0,0
667,-100,0,100,0,0
668,-100,0,100,0,0
669,-100,0,100,0,0
670,-100,0,100,0,0
671,1,0,100,1,0
672,502,1,100,1,0
673,502,1,100,1,0
674,502,1,100,1,0
675,502,1,100,1,0
676,502,1,100,1,0
677,502,1,100,1,0
678,502,1,100,1,0
679,502,1,100,1,0
680,502,1,100,1,0
681,502,1,100,1,0
682,502,1,100,1,0
683,1,0,100,1,0
684,474,1,29,1,0
685,502,1,100,1,0
686,502,1,100,1,0
687,502,1,100,1,0
688,502,1,100,1,0
689,502,1,100,1,0
690,502,1,100,1,0
691,502,1,100,1,0
692,502,1,100,1,0
693,502,1,100,1,0
694,502,1,100,1,0
695,502,1,100,1,0
696,502,1,100,1,0
697,502,1,100,1,0
698,401,1,100,0,0
699,401,1,100,0,0
700,401,1,100,0,0
701,401,1,100,0,0
702,401,1,100,0,0
703,1,0,100,1,0
704,1467,1,35,0,1
705,1460,1,42,0,1
706,401,1,100,0,0
707,1,0,100,1,0
708,502,1,100,1,0
709,1446,1,56,0,1
710,401,1,100,0,0
711,502,1,100,1,0
712,401,1,100,0,0
713,1431,1,71,0,1
714,1535,1,68,1,1
715,1,0,100,1,0
716,1,0,100,1,0
717,1,0,100,1,0
718,1,0,100,1,0
719,1,0,100,1,0
720,1,0,100,1,0
721,1,0,100,1,0
722,1,0,100,1,0
723,1,0,100,1,0
724,1,0,100,1,0
725,1,0,100,1,0
726,502,1,100,1,0
727,-30,0,32,1,0
728,1,0,100,1,0
729,1,0,100,1,0
730,502,1,100,1,0
731,1,0,100,1,0
732,502,1,100,1,0
733,-100,0,100,0,0
734,502,1,100,1,0
735,-100,0,100,0,0
736,502,1,100,1,0
737,-100,0,100,0,0
738,1,0,100,1,0
739,-100,0,100,0,0
740,1,0,100,1,0
741,1,0,100,1,0
742,1,0,100,1,0
743,1,0,100,1,0
744,-100,0,100,0,0
745,-100,0,100,0,0
746,502,1,100,1,0
747,502,1,100,1,0
748,-100,0,100,0,0
749,-114,0,15,0,0
750,-100,0,100,0,0
751,-100,0,100,0,0
752,-100,0,100,0,0
753,-100,0,100,0,0
754,-100,0,100,0,0
755,-100,0,100,0,0
756,-100,0,100,0,0
757,-100,0,100,0,0
758,-100,0,100,0,0
759,-100,0,100,0,0
760,502,1,100,1,0
761,502,1,100,1,0
762,502,1,100,1,0
763,502,1,100,1,0
764,502,1,100,1,0
765,502,1,100,1,0
766,502,1,100,1,0
767,502,1,100,1,0
768,502,1,100,1,0
769,502,1,100,1,0
770,1,0,100,1,0
771,502,1,100,1,0
772,502,1,100,1,0
773,502,1,100,1,0
774,502,1,100,1,0
775,502,1,100,1,0
776,502,1,100,1,0
777,502,1,100,1,0
778,354,1,48,0,0
779,390,1,12,0,0
780,390,1,12,0,0
781,401,1,100,0,0
782,392,1,10,0,0
783,401,1,100,0,0
784,401,1,100,0,0
785,367,1,35,0,0
786,401,1,100,0,0
787,401,1,100,0,0
788,374,1,28,0,0
789,401,1,100,0,0
790,401,1,100,0,0
791,401,1,100,0,0
792,401,1,100,0,0
793,401,1,100,0,0
794,401,1,100,0,0
795,401,1,100,0,0
796,401,1,100,0,0
797,401,1,100,0,0
798,502,1,100,1,0
799,502,1,100,1,0
800,502,1,100,1,0
801,502,1,100,1,0
802,502,1,100,1,0
803,502,1,100,1,0
804,502,1,100,1,0
805,502,1,100,1,0
806,502,1,100,1,0
807,502,1,100,1,0
808,502,1,100,1,0
809,502,1,100,1,0
810,502,1,100,1,0
811,502,1,100,1,0
812,502,1,100,1,0
813,502,1,100,1,0
814,502,1,100,1,0
815,502,1,100,1,0
816,502,1,100,1,0
817,502,1,100,1,0
818,502,1,100,1,0
819,502,1,100,1,0
820,502,1,100,1,0
821,502,1,100,1,0
822,502,1,100,1,0
823,502,1,100,1,0
824,502,1,100,1,0
825,502,1,100,1,0
826,502,1,100,1,0
827,502,1,100,1,0
828,502,1,100,1,0
829,502,1,100,1,0
830,502,1,100,1,0
831,-100,0,100,0,0
832,-100,0,100,0,0
833,-100,0,100,0,0
834,1,0,100,1,0
835,1,0,100,1,0
836,1,0,100,1,0
837,-110,0,11,0,0
838,-100,0,100,0,0
839,-100,0,100,0,0
840,-100,0,100,0,0
841,1,0,100,1,0
842,1,0,100,1,0
843,1,0,100,1,0
844,1,0,100,1,0
845,1,0,100,1,0
846,-100,0,100,0,0
847,1,0,100,1,0
848,502,1,100,1,0
849,502,1,100,1,0
850,429,1,74,1,0
851,502,1,100,1,0
852,502,1,100,1,0
853,502,1,100,1,0
854,502,1,100,1,0
855,502,1,100,1,0
856,502,1,100,1,0
857,502,1,100,1,0
858,502,1,100,1,0
859,502,1,100,1,0
860,502,1,100,1,0
861,502,1,100,1,0
862,502,1,100,1,0
863,502,1,100,1,0
864,502,1,100,1,0
865,502,1,100,1,0
866,502,1,100,1,0
867,502,1,100,1,0
868,502,1,100,1,0
869,502,1,100,1,0
870,502,1,100,1,0
871,502,1,100,1,0
872,502,1,100,1,0
873,502,1,100,1,0
874,502,1,100,1,0
875,502,1,100,1,0
876,502,1,100,1,0
877,502,1,100,1,0
878,502,1,100,1,0
879,502,1,100,1,0
880,502,1,100,1,0
881,502,1,100,1,0
882,502,1,100,1,0
883,502,1,100,1,0
884,502,1,100,1,0
885,502,1,100,1,0
886,502,1,100,1,0
887,502,1,100,1,0
888,502,1,100,1,0
889,502,1,100,1,0
890,502,1,100,1,0
891,502,1,100,1,0
892,502,1,100,1,0
893,502,1,100,1,0
894,502,1,100,1,0
895,502,1,100,1,0
