episode,rewards,has_gold,step_per_episode,killed_wumpus,get_gold_and_return_home
0,-108,0,9,0,0
1,-106,0,7,0,0
2,-155,0,56,0,0
3,-150,0,150,0,0
4,-152,0,53,0,0
5,-150,0,150,0,0
6,-139,0,40,0,0
7,-188,0,89,0,0
8,-114,0,15,0,0
9,-119,0,20,0,0
10,-116,0,17,0,0
11,-150,0,150,0,0
12,-119,0,20,0,0
13,-149,0,50,0,0
14,-167,0,68,0,0
15,-126,0,27,0,0
16,-154,0,55,0,0
17,-128,0,29,0,0
18,-119,0,20,0,0
19,-138,0,39,0,0
20,-131,0,32,0,0
21,-202,0,103,0,0
22,-115,0,16,0,0
23,-132,0,33,0,0
24,-114,0,15,0,0
25,-114,0,15,0,0
26,-143,0,44,0,0
27,-152,0,53,0,0
28,-107,0,8,0,0
29,-117,0,18,0,0
30,-221,0,122,0,0
31,-144,0,45,0,0
32,-108,0,9,0,0
33,-118,0,19,0,0
34,-139,0,40,0,0
35,-149,0,50,0,0
36,-136,0,37,0,0
37,-150,0,150,0,0
38,-111,0,12,0,0
39,-150,0,150,0,0
40,-104,0,5,0,0
41,-173,0,74,0,0
42,-148,0,49,0,0
43,-112,0,13,0,0
44,-130,0,31,0,0
45,-133,0,34,0,0
46,-108,0,9,0,0
47,-168,0,69,0,0
48,-150,0,150,0,0
49,-135,0,36,0,0
50,-231,0,132,0,0
51,-127,0,28,0,0
52,-110,0,11,0,0
53,-143,0,44,0,0
54,-102,0,3,0,0
55,-150,0,150,0,0
56,-225,0,126,0,0
57,-131,0,32,0,0
58,-157,0,58,0,0
59,-126,0,27,0,0
60,-158,0,59,0,0
61,-135,0,36,0,0
62,-192,0,93,0,0
63,-111,0,12,0,0
64,-102,0,3,0,0
65,-187,0,88,0,0
66,-169,0,70,0,0
67,-122,0,23,0,0
68,-184,0,85,0,0
69,-236,0,137,0,0
70,-148,0,49,0,0
71,-158,0,59,0,0
72,-143,0,44,0,0
73,-164,0,65,0,0
74,-169,0,70,0,0
75,-153,0,54,0,0
76,-224,0,125,0,0
77,-105,0,6,0,0
78,-187,0,88,0,0
79,-144,0,45,0,0
80,-132,0,33,0,0
81,-137,0,38,0,0
82,-150,0,150,0,0
83,-109,0,10,0,0
84,-179,0,80,0,0
85,-123,0,24,0,0
86,-150,0,150,0,0
87,-107,0,8,0,0
88,-124,0,25,0,0
89,-147,0,48,0,0
90,-195,0,96,0,0
91,-116,0,17,0,0
92,-105,0,6,0,0
93,-232,0,133,0,0
94,-114,0,15,0,0
95,-204,0,105,0,0
96,-116,0,17,0,0
97,-125,0,26,0,0
98,-142,0,43,0,0
99,-108,0,9,0,0
100,-149,0,50,0,0
101,-124,0,25,0,0
102,-206,0,107,0,0
103,-191,0,92,0,0
104,-171,0,72,0,0
105,-150,0,150,0,0
106,-125,0,26,0,0
107,-150,0,150,0,0
108,-111,0,12,0,0
109,-120,0,21,0,0
110,-136,0,37,0,0
111,-204,0,105,0,0
112,-140,0,41,0,0
113,-238,0,139,0,0
114,-131,0,32,0,0
115,-111,0,12,0,0
116,-215,0,116,0,0
117,-126,0,27,0,0
118,-197,0,98,0,0
119,-167,0,68,0,0
120,-168,0,69,0,0
121,-137,0,38,0,0
122,-241,0,142,0,0
123,-150,0,150,0,0
124,-162,0,63,0,0
125,-128,0,29,0,0
126,-129,0,30,0,0
127,-113,0,14,0,0
128,-121,0,22,0,0
129,-142,0,43,0,0
130,-111,0,12,0,0
131,-123,0,24,0,0
132,-195,0,96,0,0
133,-124,0,25,0,0
134,-140,0,41,0,0
135,-213,0,114,0,0
136,-105,0,6,0,0
137,-113,0,14,0,0
138,-176,0,77,0,0
139,-150,0,150,0,0
140,-119,0,20,0,0
141,-171,0,72,0,0
142,-228,0,129,0,0
143,-119,0,20,0,0
