episode,rewards,has_gold,step_per_episode,killed_wumpus,get_gold_and_return_home
0,-128,0,29,0,0
1,-165,0,66,0,0
2,-101,0,2,0,0
3,-114,0,15,0,0
4,-110,0,11,0,0
5,-119,0,20,0,0
6,-112,0,13,0,0
7,-112,0,13,0,0
8,-105,0,6,0,0
9,-108,0,9,0,0
10,-129,0,30,0,0
11,324,1,78,0,0
12,-107,0,8,0,0
13,-107,0,8,0,0
14,-122,0,23,0,0
15,-117,0,18,0,0
16,-168,0,69,0,0
17,-177,0,78,0,0
18,362,1,40,0,0
19,-106,0,7,0,0
20,-134,0,35,0,0
21,-199,0,100,0,0
22,-156,0,57,0,0
23,-145,0,46,0,0
24,-153,0,54,0,0
25,-122,0,23,0,0
26,-159,0,60,0,0
27,-127,0,28,0,0
28,-106,0,7,0,0
29,-107,0,8,0,0
30,363,1,39,0,0
31,-144,0,45,0,0
32,-113,0,14,0,0
33,-163,0,64,0,0
34,-173,0,74,0,0
35,-116,0,17,0,0
36,-102,0,3,0,0
37,-123,0,24,0,0
38,-101,0,2,0,0
39,-120,0,21,0,0
40,-148,0,49,0,0
41,-102,0,3,0,0
42,-112,0,13,0,0
43,-153,0,54,0,0
44,-150,0,51,0,0
45,-140,0,41,0,0
46,-114,0,15,0,0
47,-124,0,25,0,0
48,-107,0,8,0,0
49,-122,0,23,0,0
50,-110,0,11,0,0
51,-168,0,69,0,0
52,-121,0,22,0,0
53,-100,0,100,0,0
54,-177,0,78,0,0
55,-107,0,8,0,0
56,-124,0,25,0,0
57,-153,0,54,0,0
58,-120,0,21,0,0
59,-106,0,7,0,0
60,-107,0,8,0,0
61,-100,0,100,0,0
62,-135,0,36,0,0
63,-124,0,25,0,0
64,-104,0,5,0,0
65,-110,0,11,0,0
66,-123,0,24,0,0
67,-113,0,14,0,0
68,-110,0,11,0,0
69,-187,0,88,0,0
70,-104,0,5,0,0
71,-104,0,5,0,0
72,-134,0,35,0,0
73,-112,0,13,0,0
74,-100,0,100,0,0
75,-127,0,28,0,0
76,-142,0,43,0,0
77,-126,0,27,0,0
78,-102,0,3,0,0
79,-169,0,70,0,0
80,-106,0,7,0,0
81,-126,0,27,0,0
82,-151,0,52,0,0
83,401,1,100,0,0
84,-20,0,22,1,0
85,-106,0,7,0,0
86,-138,0,39,0,0
87,-101,0,2,0,0
88,-120,0,21,0,0
89,-170,0,71,0,0
90,-180,0,81,0,0
91,-109,0,10,0,0
92,-102,0,3,0,0
93,-102,0,3,0,0
94,-117,0,18,0,0
95,-105,0,6,0,0
96,-149,0,50,0,0
97,-109,0,10,0,0
98,-122,0,23,0,0
99,-123,0,24,0,0
100,-101,0,2,0,0
101,-103,0,4,0,0
102,-131,0,32,0,0
103,-111,0,12,0,0
104,-104,0,5,0,0
105,-145,0,46,0,0
106,-111,0,12,0,0
107,-125,0,26,0,0
108,-101,0,2,0,0
109,-125,0,26,0,0
110,-118,0,19,0,0
111,-105,0,6,0,0
112,-110,0,11,0,0
113,-139,0,40,0,0
114,-156,0,57,0,0
115,-183,0,84,0,0
116,-138,0,39,0,0
117,-145,0,46,0,0
118,-101,0,2,0,0
119,-120,0,21,0,0
120,-124,0,25,0,0
121,-102,0,3,0,0
122,-126,0,27,0,0
123,-116,0,17,0,0
124,-131,0,32,0,0
125,-149,0,50,0,0
126,-152,0,53,0,0
127,-102,0,3,0,0
128,-103,0,4,0,0
129,-158,0,59,0,0
130,-188,0,89,0,0
131,-187,0,88,0,0
132,-163,0,64,0,0
133,-158,0,59,0,0
134,-169,0,70,0,0
135,-132,0,33,0,0
136,-128,0,29,0,0
137,-146,0,47,0,0
138,-129,0,30,0,0
139,-102,0,3,0,0
140,-120,0,21,0,0
141,-101,0,2,0,0
142,-101,0,2,0,0
143,-151,0,52,0,0
144,-158,0,59,0,0
145,-128,0,29,0,0
146,-161,0,62,0,0
147,-171,0,72,0,0
148,-133,0,34,0,0
149,-126,0,27,0,0
150,-115,0,16,0,0
151,-108,0,9,0,0
152,-150,0,51,0,0
153,-38,0,40,1,0
154,-121,0,22,0,0
155,-103,0,4,0,0
156,-150,0,51,0,0
157,-105,0,6,0,0
158,-124,0,25,0,0
159,-130,0,31,0,0
160,-120,0,21,0,0
161,-100,0,100,0,0
162,-161,0,62,0,0
163,-100,0,100,0,0
164,-138,0,39,0,0
165,-104,0,5,0,0
166,-110,0,11,0,0
167,-137,0,38,0,0
168,-134,0,35,0,0
169,-104,0,5,0,0
170,-199,0,100,0,0
171,-128,0,29,0,0
172,-144,0,45,0,0
173,-198,0,99,0,0
174,-166,0,67,0,0
175,-148,0,49,0,0
176,-117,0,18,0,0
177,-108,0,9,0,0
178,-145,0,46,0,0
179,-105,0,6,0,0
180,-199,0,100,0,0
181,-170,0,71,0,0
182,-143,0,44,0,0
183,-107,0,8,0,0
184,-110,0,11,0,0
185,-128,0,29,0,0
186,-100,0,100,0,0
187,-138,0,39,0,0
188,-129,0,30,0,0
189,-111,0,12,0,0
190,-102,0,3,0,0
191,-105,0,6,0,0
192,-119,0,20,0,0
193,-137,0,38,0,0
194,-144,0,45,0,0
195,-124,0,25,0,0
196,-122,0,23,0,0
197,-104,0,5,0,0
198,-119,0,20,0,0
199,-112,0,13,0,0
200,-149,0,50,0,0
201,-150,0,51,0,0
202,-126,0,27,0,0
203,-167,0,68,0,0
204,-126,0,27,0,0
205,-111,0,12,0,0
206,-121,0,22,0,0
207,-127,0,28,0,0
208,-119,0,20,0,0
209,-130,0,31,0,0
210,-108,0,9,0,0
211,-134,0,35,0,0
212,-100,0,100,0,0
213,-154,0,55,0,0
214,-109,0,10,0,0
215,-164,0,65,0,0
216,-101,0,2,0,0
217,-175,0,76,0,0
218,-185,0,86,0,0
219,-161,0,62,0,0
220,-159,0,60,0,0
221,-114,0,15,0,0
222,-129,0,30,0,0
223,-110,0,11,0,0
224,-110,0,11,0,0
225,-187,0,88,0,0
