episode,rewards,has_gold,step_per_episode,killed_wumpus,get_gold_and_return_home
243,-168,0,69,0,0
244,-180,0,81,0,0
245,-145,0,46,0,0
246,-150,0,150,0,0
247,-197,0,98,0,0
248,-113,0,14,0,0
249,-115,0,16,0,0
250,-105,0,6,0,0
251,-176,0,77,0,0
252,-131,0,32,0,0
253,-110,0,11,0,0
254,-126,0,27,0,0
255,-146,0,47,0,0
256,-109,0,10,0,0
257,-193,0,94,0,0
258,-167,0,68,0,0
259,-162,0,63,0,0
260,-227,0,128,0,0
261,-176,0,77,0,0
262,-119,0,20,0,0
263,-150,0,150,0,0
264,-113,0,14,0,0
265,-112,0,13,0,0
266,-125,0,26,0,0
267,-183,0,84,0,0
268,-206,0,107,0,0
269,-107,0,8,0,0
270,-189,0,90,0,0
271,-242,0,143,0,0
272,-180,0,81,0,0
273,-161,0,62,0,0
274,-193,0,94,0,0
275,-133,0,34,0,0
276,-163,0,64,0,0
277,-113,0,14,0,0
278,-152,0,53,0,0
279,-141,0,42,0,0
280,-179,0,80,0,0
281,-150,0,150,0,0
282,-214,0,115,0,0
283,-146,0,47,0,0
284,-163,0,64,0,0
285,-197,0,98,0,0
286,-182,0,83,0,0
287,-131,0,32,0,0
288,-103,0,4,0,0
289,-215,0,116,0,0
290,-210,0,111,0,0
291,-214,0,115,0,0
292,-150,0,150,0,0
293,-108,0,9,0,0
294,-157,0,58,0,0
295,-165,0,66,0,0
296,-156,0,57,0,0
297,-132,0,33,0,0
298,-148,0,49,0,0
299,-151,0,52,0,0
300,-127,0,28,0,0
301,-146,0,47,0,0
302,-108,0,9,0,0
303,-108,0,9,0,0
304,-150,0,150,0,0
305,-187,0,88,0,0
306,-122,0,23,0,0
307,-125,0,26,0,0
308,-148,0,49,0,0
309,-130,0,31,0,0
310,-136,0,37,0,0
311,-116,0,17,0,0
312,-152,0,53,0,0
313,-118,0,19,0,0
314,-132,0,33,0,0
315,-152,0,53,0,0
316,-169,0,70,0,0
317,-159,0,60,0,0
318,-150,0,150,0,0
319,-124,0,25,0,0
320,-148,0,49,0,0
321,-135,0,36,0,0
322,-137,0,38,0,0
323,-110,0,11,0,0
324,-118,0,19,0,0
325,-245,0,146,0,0
326,-144,0,45,0,0
327,-120,0,21,0,0
328,-178,0,79,0,0
329,-138,0,39,0,0
330,-120,0,21,0,0
331,-109,0,10,0,0
332,-145,0,46,0,0
333,351,1,150,0,0
334,-196,0,97,0,0
335,-174,0,75,0,0
336,300,1,102,0,0
337,-158,0,59,0,0
338,-161,0,62,0,0
339,-132,0,33,0,0
340,-206,0,107,0,0
341,-129,0,30,0,0
342,-169,0,70,0,0
343,-150,0,150,0,0
344,-171,0,72,0,0
345,-137,0,38,0,0
346,-155,0,56,0,0
347,-127,0,28,0,0
348,-150,0,150,0,0
349,-150,0,150,0,0
350,-119,0,20,0,0
351,-155,0,56,0,0
352,-215,0,116,0,0
353,-174,0,75,0,0
354,-177,0,78,0,0
355,-174,0,75,0,0
356,-150,0,150,0,0
357,-133,0,34,0,0
358,-214,0,115,0,0
359,-116,0,17,0,0
360,-104,0,5,0,0
361,-215,0,116,0,0
362,-112,0,13,0,0
363,-117,0,18,0,0
364,-204,0,105,0,0
365,-108,0,9,0,0
366,-134,0,35,0,0
367,-133,0,34,0,0
368,-179,0,80,0,0
369,-171,0,72,0,0
370,-191,0,92,0,0
371,-117,0,18,0,0
372,-115,0,16,0,0
373,-135,0,36,0,0
374,-108,0,9,0,0
375,-119,0,20,0,0
376,-156,0,57,0,0
377,-162,0,63,0,0
378,-150,0,150,0,0
379,-150,0,150,0,0
380,-148,0,49,0,0
381,-108,0,9,0,0
382,-155,0,56,0,0
383,-230,0,131,0,0
384,-248,0,149,0,0
385,-111,0,12,0,0
386,-173,0,74,0,0
387,-126,0,27,0,0
388,-150,0,51,0,0
389,-125,0,26,0,0
390,-233,0,134,0,0
391,-123,0,24,0,0
392,-120,0,21,0,0
393,-164,0,65,0,0
394,-177,0,78,0,0
395,-155,0,56,0,0
396,-145,0,46,0,0
397,-150,0,150,0,0
398,-150,0,150,0,0
399,-148,0,49,0,0
400,-126,0,27,0,0
401,-150,0,150,0,0
402,-218,0,119,0,0
403,-196,0,97,0,0
404,-201,0,102,0,0
405,-143,0,44,0,0
406,-151,0,52,0,0
407,-187,0,88,0,0
408,-177,0,78,0,0
409,-191,0,92,0,0
410,-161,0,62,0,0
411,-122,0,23,0,0
412,-200,0,101,0,0
413,-105,0,6,0,0
414,-135,0,36,0,0
415,-107,0,8,0,0
416,-150,0,150,0,0
417,-135,0,36,0,0
418,-127,0,28,0,0
419,-158,0,59,0,0
420,-131,0,32,0,0
421,-112,0,13,0,0
422,-223,0,124,0,0
423,-138,0,39,0,0
424,-209,0,110,0,0
425,-133,0,34,0,0
426,-117,0,18,0,0
427,-155,0,56,0,0
428,-212,0,113,0,0
429,-128,0,29,0,0
430,-140,0,41,0,0
431,-105,0,6,0,0
432,-183,0,84,0,0
433,-150,0,51,0,0
434,-199,0,100,0,0
435,-154,0,55,0,0
436,-102,0,3,0,0
437,-149,0,50,0,0
438,-150,0,150,0,0
439,-106,0,7,0,0
440,-130,0,31,0,0
441,-233,0,134,0,0
442,-139,0,40,0,0
443,-188,0,89,0,0
444,-152,0,53,0,0
445,-120,0,21,0,0
446,-166,0,67,0,0
447,-129,0,30,0,0
448,-166,0,67,0,0
449,-113,0,14,0,0
450,-167,0,68,0,0
451,-217,0,118,0,0
452,-132,0,33,0,0
453,-184,0,85,0,0
454,-141,0,42,0,0
455,-150,0,150,0,0
456,-127,0,28,0,0
457,-103,0,4,0,0
458,-114,0,15,0,0
459,-150,0,150,0,0
460,-181,0,82,0,0
461,-150,0,150,0,0
462,-162,0,63,0,0
463,-166,0,67,0,0
464,-119,0,20,0,0
465,-206,0,107,0,0
466,-169,0,70,0,0
467,-107,0,8,0,0
468,-102,0,3,0,0
469,-107,0,8,0,0
470,-211,0,112,0,0
471,-148,0,49,0,0
472,-159,0,60,0,0
473,-150,0,150,0,0
474,-119,0,20,0,0
475,-128,0,29,0,0
476,-119,0,20,0,0
477,-150,0,150,0,0
478,-111,0,12,0,0
479,-141,0,42,0,0
480,-115,0,16,0,0
481,-219,0,120,0,0
482,-150,0,51,0,0
483,-132,0,33,0,0
484,-132,0,33,0,0
485,-176,0,77,0,0
486,-117,0,18,0,0
487,-172,0,73,0,0
488,-116,0,17,0,0
489,-204,0,105,0,0
490,-159,0,60,0,0
491,-150,0,150,0,0
492,-150,0,150,0,0
493,-116,0,17,0,0
494,-150,0,150,0,0
495,-182,0,83,0,0
496,-142,0,43,0,0
497,-140,0,41,0,0
498,-168,0,69,0,0
499,-121,0,22,0,0
500,-178,0,79,0,0
501,-148,0,49,0,0
502,-116,0,17,0,0
503,-150,0,150,0,0
504,-124,0,25,0,0
505,-150,0,150,0,0
506,-150,0,150,0,0
507,-185,0,86,0,0
508,-172,0,73,0,0
509,-188,0,89,0,0
510,-151,0,52,0,0
511,-149,0,50,0,0
512,-153,0,54,0,0
513,-168,0,69,0,0
514,-121,0,22,0,0
515,-177,0,78,0,0
516,-244,0,145,0,0
517,-155,0,56,0,0
518,-140,0,41,0,0
519,-110,0,11,0,0
520,-140,0,41,0,0
521,-219,0,120,0,0
522,-136,0,37,0,0
523,-103,0,4,0,0
524,-128,0,29,0,0
525,-104,0,5,0,0
526,-166,0,67,0,0
527,-128,0,29,0,0
528,-103,0,4,0,0
529,-125,0,26,0,0
530,-107,0,8,0,0
531,-150,0,150,0,0
532,-137,0,38,0,0
533,-156,0,57,0,0
534,-127,0,28,0,0
535,-107,0,8,0,0
536,-192,0,93,0,0
537,-162,0,63,0,0
538,-136,0,37,0,0
539,-150,0,150,0,0
540,-133,0,34,0,0
541,-108,0,9,0,0
542,-148,0,49,0,0
543,-196,0,97,0,0
544,-119,0,20,0,0
545,-149,0,50,0,0
546,-115,0,16,0,0
547,-193,0,94,0,0
548,-175,0,76,0,0
549,-117,0,18,0,0
550,-150,0,150,0,0
551,-119,0,20,0,0
552,-180,0,81,0,0
