episode,rewards,has_gold,step_per_episode,killed_wumpus,get_gold_and_return_home
0,-138,0,39,0,0
1,-106,0,7,0,0
2,-123,0,24,0,0
3,-101,0,2,0,0
4,-115,0,16,0,0
5,-108,0,9,0,0
6,-100,0,100,0,0
7,-101,0,2,0,0
8,-113,0,14,0,0
9,-108,0,9,0,0
10,-100,0,100,0,0
11,-110,0,11,0,0
12,-112,0,13,0,0
13,-108,0,9,0,0
14,-105,0,6,0,0
15,-101,0,2,0,0
16,-151,0,52,0,0
17,-104,0,5,0,0
18,-176,0,77,0,0
19,-132,0,33,0,0
20,-107,0,8,0,0
21,-105,0,6,0,0
22,-114,0,15,0,0
23,-133,0,34,0,0
24,-122,0,23,0,0
25,-106,0,7,0,0
26,-119,0,20,0,0
27,-151,0,52,0,0
28,-105,0,6,0,0
29,-101,0,2,0,0
30,-150,0,51,0,0
31,-129,0,30,0,0
32,-107,0,8,0,0
33,-141,0,42,0,0
34,-103,0,4,0,0
35,-163,0,64,0,0
36,-103,0,4,0,0
37,-125,0,26,0,0
38,-136,0,37,0,0
39,-144,0,45,0,0
40,-140,0,41,0,0
41,-139,0,40,0,0
42,-113,0,14,0,0
43,-161,0,62,0,0
44,-103,0,4,0,0
45,-118,0,19,0,0
46,-105,0,6,0,0
47,365,1,37,0,0
48,-194,0,95,0,0
49,-103,0,4,0,0
50,333,1,69,0,0
51,-137,0,38,0,0
52,355,1,47,0,0
53,-113,0,14,0,0
54,-150,0,51,0,0
55,-140,0,41,0,0
56,-136,0,37,0,0
57,-109,0,10,0,0
58,-104,0,5,0,0
59,-103,0,4,0,0
60,-103,0,4,0,0
61,-127,0,28,0,0
62,-116,0,17,0,0
63,-102,0,3,0,0
64,-148,0,49,0,0
65,-122,0,23,0,0
66,-112,0,13,0,0
67,-110,0,11,0,0
68,-101,0,2,0,0
69,-131,0,32,0,0
70,-100,0,100,0,0
71,-105,0,6,0,0
72,-189,0,90,0,0
73,-183,0,84,0,0
74,-100,0,100,0,0
75,-24,0,26,1,0
76,-106,0,7,0,0
77,-107,0,8,0,0
78,-107,0,8,0,0
79,-141,0,42,0,0
80,-107,0,8,0,0
81,-117,0,18,0,0
82,-169,0,70,0,0
83,-138,0,39,0,0
84,-118,0,19,0,0
85,-130,0,31,0,0
86,-124,0,25,0,0
87,-140,0,41,0,0
88,-109,0,10,0,0
89,-141,0,42,0,0
90,-109,0,10,0,0
91,-128,0,29,0,0
92,-131,0,32,0,0
93,-101,0,2,0,0
94,-106,0,7,0,0
95,-123,0,24,0,0
96,-109,0,10,0,0
97,-104,0,5,0,0
98,-102,0,3,0,0
99,-113,0,14,0,0
100,-111,0,12,0,0
101,-157,0,58,0,0
102,-131,0,32,0,0
103,-129,0,30,0,0
104,-121,0,22,0,0
105,-120,0,21,0,0
106,-113,0,14,0,0
107,-101,0,2,0,0
108,-112,0,13,0,0
109,-120,0,21,0,0
110,-137,0,38,0,0
111,-102,0,3,0,0
112,-154,0,55,0,0
113,-113,0,14,0,0
114,-22,0,24,1,0
115,-133,0,34,0,0
116,-135,0,36,0,0
117,-111,0,12,0,0
118,-111,0,12,0,0
119,-113,0,14,0,0
120,-100,0,100,0,0
121,-120,0,21,0,0
122,-164,0,65,0,0
123,-107,0,8,0,0
124,-156,0,57,0,0
125,-121,0,22,0,0
126,-134,0,35,0,0
127,-104,0,5,0,0
128,-115,0,16,0,0
129,-107,0,8,0,0
130,-106,0,7,0,0
131,-139,0,40,0,0
132,-134,0,35,0,0
133,-118,0,19,0,0
134,-112,0,13,0,0
135,-128,0,29,0,0
136,-128,0,29,0,0
137,-186,0,87,0,0
138,-107,0,8,0,0
139,-137,0,38,0,0
140,-146,0,47,0,0
141,-110,0,11,0,0
142,-133,0,34,0,0
143,-167,0,68,0,0
144,-8,0,10,1,0
145,-107,0,8,0,0
146,-103,0,4,0,0
147,-122,0,23,0,0
148,-105,0,6,0,0
149,-108,0,9,0,0
150,-104,0,5,0,0
151,-162,0,63,0,0
152,-160,0,61,0,0
153,-147,0,48,0,0
154,-104,0,5,0,0
155,-116,0,17,0,0
156,-143,0,44,0,0
157,-149,0,50,0,0
158,-151,0,52,0,0
159,-144,0,45,0,0
160,-138,0,39,0,0
161,-135,0,36,0,0
162,-143,0,44,0,0
163,-100,0,100,0,0
164,-180,0,81,0,0
165,-158,0,59,0,0
166,-154,0,55,0,0
167,-141,0,42,0,0
168,-112,0,13,0,0
169,-193,0,94,0,0
170,-118,0,19,0,0
171,-115,0,16,0,0
172,-105,0,6,0,0
173,-102,0,3,0,0
174,-101,0,2,0,0
175,-110,0,11,0,0
176,-127,0,28,0,0
177,-113,0,14,0,0
178,-105,0,6,0,0
179,-121,0,22,0,0
180,-124,0,25,0,0
181,-168,0,69,0,0
182,-116,0,17,0,0
183,-104,0,5,0,0
184,-108,0,9,0,0
185,-167,0,68,0,0
186,-153,0,54,0,0
187,-116,0,17,0,0
188,-134,0,35,0,0
189,-138,0,39,0,0
190,-120,0,21,0,0
191,-107,0,8,0,0
192,-101,0,2,0,0
193,-152,0,53,0,0
194,-120,0,21,0,0
195,-104,0,5,0,0
196,-105,0,6,0,0
197,-107,0,8,0,0
198,-105,0,6,0,0
199,-153,0,54,0,0
200,-101,0,2,0,0
201,-107,0,8,0,0
202,-107,0,8,0,0
203,-124,0,25,0,0
204,-108,0,9,0,0
205,-109,0,10,0,0
206,-161,0,62,0,0
207,-111,0,12,0,0
208,-102,0,3,0,0
209,-149,0,50,0,0
210,-143,0,44,0,0
211,401,1,100,0,0
212,-168,0,69,0,0
213,-133,0,34,0,0
214,-139,0,40,0,0
215,358,1,44,0,0
216,-119,0,20,0,0
217,-189,0,90,0,0
218,-126,0,27,0,0
219,-123,0,24,0,0
220,-115,0,16,0,0
221,-101,0,2,0,0
222,-120,0,21,0,0
223,-149,0,50,0,0
224,-104,0,5,0,0
225,-133,0,34,0,0
226,-110,0,11,0,0
227,-116,0,17,0,0
228,-110,0,11,0,0
229,-114,0,15,0,0
230,-126,0,27,0,0
231,-143,0,44,0,0
232,-101,0,2,0,0
233,-107,0,8,0,0
234,-20,0,22,1,0
235,-143,0,44,0,0
236,-144,0,45,0,0
237,-148,0,49,0,0
238,-103,0,4,0,0
239,-9,0,11,1,0
240,-105,0,6,0,0
241,-101,0,2,0,0
242,-102,0,3,0,0
243,-135,0,36,0,0
244,-149,0,50,0,0
245,-127,0,28,0,0
246,-170,0,71,0,0
247,-106,0,7,0,0
248,-100,0,100,0,0
249,-195,0,96,0,0
250,-141,0,42,0,0
251,-102,0,3,0,0
252,-104,0,5,0,0
253,-108,0,9,0,0
254,-174,0,75,0,0
255,-119,0,20,0,0
256,-102,0,3,0,0
257,-176,0,77,0,0
258,-116,0,17,0,0
259,-114,0,15,0,0
260,-115,0,16,0,0
261,-171,0,72,0,0
262,-155,0,56,0,0
263,-125,0,26,0,0
264,-169,0,70,0,0
265,-112,0,13,0,0
266,-130,0,31,0,0
267,-136,0,37,0,0
268,-131,0,32,0,0
269,315,1,87,0,0
270,-111,0,12,0,0
271,-102,0,3,0,0
272,-144,0,45,0,0
273,-102,0,3,0,0
274,-177,0,78,0,0
275,-109,0,10,0,0
276,-133,0,34,0,0
277,-110,0,11,0,0
278,-118,0,19,0,0
279,-153,0,54,0,0
280,-147,0,48,0,0
281,-145,0,46,0,0
282,-124,0,25,0,0
283,-117,0,18,0,0
284,-142,0,43,0,0
285,-117,0,18,0,0
286,-114,0,15,0,0
287,-123,0,24,0,0
288,-101,0,2,0,0
289,-114,0,15,0,0
290,-142,0,43,0,0
291,-111,0,12,0,0
292,-143,0,44,0,0
293,-117,0,18,0,0
294,-142,0,43,0,0
295,-174,0,75,0,0
296,-105,0,6,0,0
297,-138,0,39,0,0
298,-149,0,50,0,0
299,-137,0,38,0,0
300,-102,0,3,0,0
301,-118,0,19,0,0
302,-150,0,51,0,0
303,-126,0,27,0,0
304,-142,0,43,0,0
305,331,1,71,0,0
306,-157,0,58,0,0
307,-106,0,7,0,0
308,-151,0,52,0,0
309,-145,0,46,0,0
310,-132,0,33,0,0
311,-115,0,16,0,0
312,-136,0,37,0,0
313,-103,0,4,0,0
314,-121,0,22,0,0
315,-115,0,16,0,0
316,-175,0,76,0,0
317,-160,0,61,0,0
318,-152,0,53,0,0
319,-120,0,21,0,0
320,-114,0,15,0,0
321,-102,0,3,0,0
322,-152,0,53,0,0
323,-102,0,3,0,0
324,-112,0,13,0,0
325,-139,0,40,0,0
326,-111,0,12,0,0
327,-12,0,14,1,0
328,-151,0,52,0,0
329,-137,0,38,0,0
330,-116,0,17,0,0
331,-178,0,79,0,0
332,-133,0,34,0,0
333,-138,0,39,0,0
334,-121,0,22,0,0
335,-102,0,3,0,0
336,-101,0,2,0,0
337,-101,0,2,0,0
338,-101,0,2,0,0
339,-139,0,40,0,0
340,-188,0,89,0,0
341,-117,0,18,0,0
342,361,1,41,0,0
343,-119,0,20,0,0
344,-102,0,3,0,0
345,-105,0,6,0,0
346,-114,0,15,0,0
347,-100,0,100,0,0
348,-116,0,17,0,0
349,-193,0,94,0,0
350,-139,0,40,0,0
351,-136,0,37,0,0
352,-123,0,24,0,0
353,-195,0,96,0,0
354,-107,0,8,0,0
355,-114,0,15,0,0
356,-102,0,3,0,0
357,-101,0,2,0,0
358,-122,0,23,0,0
359,-107,0,8,0,0
360,-124,0,25,0,0
361,-101,0,2,0,0
362,-137,0,38,0,0
363,-100,0,100,0,0
364,-117,0,18,0,0
365,-135,0,36,0,0
366,-111,0,12,0,0
367,-153,0,54,0,0
368,-156,0,57,0,0
369,-103,0,4,0,0
370,-101,0,2,0,0
371,-111,0,12,0,0
372,-133,0,34,0,0
373,-160,0,61,0,0
374,-128,0,29,0,0
375,-136,0,37,0,0
376,-143,0,44,0,0
377,-122,0,23,0,0
378,-171,0,72,0,0
379,-118,0,19,0,0
380,-107,0,8,0,0
381,-103,0,4,0,0
382,-111,0,12,0,0
383,-152,0,53,0,0
384,-126,0,27,0,0
385,-133,0,34,0,0
386,-129,0,30,0,0
387,-124,0,25,0,0
388,-110,0,11,0,0
389,-103,0,4,0,0
390,-115,0,16,0,0
391,-100,0,100,0,0
392,-100,0,100,0,0
393,-167,0,68,0,0
394,-100,0,100,0,0
395,-119,0,20,0,0
396,-133,0,34,0,0
397,-115,0,16,0,0
398,-113,0,14,0,0
399,-107,0,8,0,0
400,-123,0,24,0,0
401,-178,0,79,0,0
402,-107,0,8,0,0
403,-121,0,22,0,0
404,-186,0,87,0,0
405,-120,0,21,0,0
406,-149,0,50,0,0
407,-162,0,63,0,0
408,-142,0,43,0,0
409,-153,0,54,0,0
410,-101,0,2,0,0
411,-174,0,75,0,0
412,-106,0,7,0,0
413,-126,0,27,0,0
414,-137,0,38,0,0
415,-100,0,100,0,0
416,-126,0,27,0,0
417,-154,0,55,0,0
418,-115,0,16,0,0
419,-115,0,16,0,0
420,-126,0,27,0,0
421,311,1,91,0,0
422,-117,0,18,0,0
423,-101,0,2,0,0
